tweet,voter 1,voter 2,voter 3,final vote,,,,,,,,,,,,,,,
@maria47215 @teIrms12 @imnotadds @Jimmy93171751 @GnomeJuli07 @allcapslerky @boy_kalog @anthonybicolan @BuangSonny @lino_iam @iliad_novak @lav2heart14 @BalDugho @MDSOnwardPH22 @GrowlHarhar @NileSneel @bernallene @fakyoto @bhevzkyren @pawwiefriday @MarC012378 @little_b_o_y @IamPatriotMDS @danwaytoofar @ralfymannheim @dutaetaetae @LoVe_MeOw_24 @GioSheng @3gchinoy @aberasturi2 @virmaxi @Aczent1 @WongLi2515 @inday_darling @briggscutter @RyanAsa7 @realmealbert @cletoque2 @MistPersie @corruptpler @Airashi_Kireina @YusufSantos79 @axonyx @PositivityLivi1 @ntfcovid19ph @Teddybird @EdselSalvana @TheBCDAGroup @BatangPink2022 @bing_catap Punta kang SC basahin mo ang decision niyan. Partida mga tuta ni Digong ang SC. Musta na si Gadon te? Wahaha bbm taxevader,-1,-1,-1,-1,,,,,,,,,,,,,,,
Ibang BBM ung gusto nameng paalaman.,-1,-1,-1,-1,,,,,,,,,,,,,,,
@sunheejayyunlv tatay ko si BBM BLEEE,-1,1,1,1,,,,,,,,,,,,,,,
Who is the real Dictator?   #BBMSARA2022 #BBMIsMyPresident2022 #BBM ðŸ‡µðŸ‡­  https://t.co/X1UoKorDsN,0,-1,0,0,,,,,,,,,,,,,,,
Syempre sa ganito na lang bumabanat ang mga bobong BBM supporters dahil wala nang ibang maibato ðŸ˜˜,-1,-1,-1,-1,,,,,,,,,,,,,,,
sino ba kasi gumawa ng insipired song para kay bbm ina niyo talaga ðŸ˜­ðŸ˜­ðŸ˜­,-1,-1,-1,-1,,,,,,,,,,,,,,,
" @jhndvg @MadamDeputz @WifeOfAliMERC @lenirobredo @ABSCBNNews @gmanetwork Simplehan natin, pano nakapasok si BBM sa Wharton kung wala  undergraduate degree sa Oxford? These schools are not the mababang uri na eskwelahan, in terms of world ranking, tulad ng University of Nueva Caceres &amp; UP ni Mama Leni. Wala Recto sa UK&amp; US. Andito lang sa Pinas.",-1,-1,-1,-1,,,,,,,,,,,,,,,
@eveirulne ah kaya pala bbm ka,0,0,0,0,,,,,,,,,,,,,,,
"@maria47215 @teIrms12 @imnotadds @Jimmy93171751 @GnomeJuli07 @allcapslerky @boy_kalog @anthonybicolan @BuangSonny @lino_iam @iliad_novak @lav2heart14 @BalDugho @MDSOnwardPH22 @GrowlHarhar @NileSneel @bernallene @fakyoto @bhevzkyren @pawwiefriday @MarC012378 @little_b_o_y @IamPatriotMDS @danwaytoofar @ralfymannheim @dutaetaetae @LoVe_MeOw_24 @GioSheng @3gchinoy @aberasturi2 @virmaxi @Aczent1 @WongLi2515 @inday_darling @briggscutter @RyanAsa7 @realmealbert @cletoque2 @MistPersie @corruptpler @Airashi_Kireina @YusufSantos79 @axonyx @PositivityLivi1 @ntfcovid19ph @Teddybird @EdselSalvana @TheBCDAGroup @BatangPink2022 @bing_catap Sinong fake VP? Anong proof? Luh te, huwag mo igaya kay bbm. Ansabi ng SC sa kaso bintang niyo?",-1,-1,-1,-1,,,,,,,,,,,,,,,
Si BBM nga hindi alam ang pagkakaiba ng tama at mali.,-1,-1,-1,-1,,,,,,,,,,,,,,,
@cnnphilippines @lenirobredo YOU CAN STILL DO THE CAMPAIGN. NGAYON PA PO KAYO HIHINTO? BBM IS LEADING. NUNG NAPABABA NG D30 GOVT ANG COVID WALA KAYO PAKIALAM SA MGA SUPPORTERS NYO NA DIKIT-DIKIT SA KALYE. KAYO NAKINABANG. NGAYONG MATAAS SIGAW ULIT NG ALIPORES NYO #NasaanAngPangulo ? HIYANG-HIYA NMAN KAMI.,-1,-1,-1,-1,,,,,,,,,,,,,,,
@hidaddytyrone This is such a sweet scene.. kng maibabalik lng ang kahapon. Miss ka na nmin apo uncle. D bale si kuya #BBM na magtutuloy. Lalaban at babangon muli ang Pinas. ðŸ‡¯ðŸ‡µðŸ‡µðŸ‡­,1,1,1,1,,,,,,,,,,,,,,,
Ang cute ni BBM! ðŸ˜,1,1,1,1,,,,,,,,,,,,,,,
@luna_pakingan @PositivityLivi1 @justbutterfly06 @jc_delapena9 @ogie_rosa Di ikaw kasi sinasabihan koðŸ˜solid bbm din ako,-1,1,-1,-1,,,,,,,,,,,,,,,
"@basteboi @hannahbarrantes @beabalgomera Alam mo para matapos ang usapan, sabihin mo sa mga kakilala mong abogado na anti Marcos na magfile kayo ng kaso o petisyon katulad ng ginawa nila sa Comelec. Nagfile ng sandamukal na petisyon to cancel the BBM candicacy. Ilan na nga ba ang ibinasura ng Comelec?",-1,-1,-1,-1,,,,,,,,,,,,,,,
BBM LANG MALAKAS #BongbongMarcos2022  @BongbongMarcos,1,1,1,1,,,,,,,,,,,,,,,
Leni's supporters are becoming more and more toxic by the day. Please do not end up wearing the same feathers BBM supporters use. ðŸ˜­,-1,-1,-1,-1,,,,,,,,,,,,,,,
@jhndvg @MadamDeputz @DadiTsukie @WifeOfAliMERC @lenirobredo @ABSCBNNews @gmanetwork Bakit si BBM? Kasi may undergraduate degree s'ya sa Oxford and nakapasok s'ya sa Wharton for his masters. Oh man! Oxford is no.1 or 2 while UPenn is 13th in the world university ranking.,1,-1,-1,-1,,,,,,,,,,,,,,,
Bye BBM you are no longer need here.,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@forthenationPH Trew. Kolehiyala speak kasi ewan ko ba. Si bbm naman nagtatagalog when mas madali magenglish na lang, baliktad sila sa part na yon ðŸ¤£",-1,-1,-1,-1,,,,,,,,,,,,,,,
Yung tatay ko nakikinig ng BBM videos sa FB kaya pinlay ko yung Ang Walang Kwentang Podcast about sa foreigner sex experience ni Angelica Panganiban,-1,-1,-1,-1,,,,,,,,,,,,,,,
@Rose111291 Nanalo si leni dahil sa smartmatic alam ng mga tao yang2! ðŸ˜„ ðŸ˜„ Si BBM sa puso at sa mga tutuong tao nanalo,-1,-1,-1,-1,,,,,,,,,,,,,,,
Somewhere in my FB memories I posted my bbm pin. Still the best qwerty keyboard ever,1,1,1,1,,,,,,,,,,,,,,,
"@WinwinEklabu Is the sin of the father, the sin of the son? Compare their accomplishments and don't judge them using their names.  What did Leni accomplish for Bicol anyway? BBM did the Bangui windmills and the north love the Marcoses. How about Bicol? Just saying",-1,-1,-1,-1,,,,,,,,,,,,,,,
"Nothing has changed. Whatever the haters say, I wholeheartedly support BBM and SDC. End of the story.",1,1,1,1,,,,,,,,,,,,,,,
@PhilstarNews Nakaka sad naman.. Hindi na kinaya ang competition.. Goodbye BBM!! Goodbye BBM!!,-1,-1,-1,-1,,,,,,,,,,,,,,,
Paasa amfff akala ko kung anong BBM na,-1,-1,0,-1,,,,,,,,,,,,,,,
gagii yung mga lola ko nanonood ng  bbm song with caravan sa tv  taena lodszzzzz  ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,0,-1,0,0,,,,,,,,,,,,,,,
*habang nagbubungkal ng wallet kanina sa taxi*  jebe: sino po ba boboto niyo? TD: ah bbm ako. jebe: sige po keep the change na lang. (bumaba na)  TD: kaw ba sir? jebe: ayoko po sa magnanakaw  TD: *natawa na lang*  di ko dinabog yung pinto. relax lang kayo ðŸ¤£ haaay bukas ulit ðŸ’—,1,1,1,1,,,,,,,,,,,,,,,
"""BBM SARA"" -My future president and future vice president. #bbmsarah2022",1,1,1,1,,,,,,,,,,,,,,,
@jhndvg @iamwhatiam30 @DadiTsukie @WifeOfAliMERC @lenirobredo @ABSCBNNews @gmanetwork Hahahaha Change topic ka ngayon???! Simple lang sagot ko diyan. Hindi siya BOBO kaya si BBM ang gusto namin. Okay sana si Pi/ng Lacson kaso may Bongbong Marcos na ako. Basta wag lang kay Leni na Tuta ng Aquino. Ewwwww!,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@DadiTsukie @jhndvg @MadamDeputz @WifeOfAliMERC @lenirobredo @ABSCBNNews @gmanetwork Alam ko hindi ganun kataas ang antas ng edukasyon mo kaya hindi mo naiintindihan ang punto ko. Si BBM ay pumasok ng ibang eskwelahan,sa Wharton,para mag-aral ng masters. Requirement dun na may undegraduate degree.Kaya si Oxford mismo ang nagforward kay Wharton,hindi si BBM",-1,-1,-1,-1,,,,,,,,,,,,,,,
"@ClaraSa66414026 @neil_geron @BBMSOLID27 Just tell her to cite two laws that she passed ðŸ¤£ðŸ¤£ Fyi if you are not convinced to degree of BBM, contest oxford and conduct investigations go there. Ask them if certificate was legit, i hope you will not bark there as you are doing hereðŸ¤¦â€â™‚ï¸I know your favorite word ""Rehashed""",-1,-1,-1,-1,,,,,,,,,,,,,,,
@i_D bbm baby,1,1,1,1,,,,,,,,,,,,,,,
"BBM has a point that we should not tempt God because pandemic is a reminder of heaven. As happened in the time of Moses the plague was a sign of God's wrath. So let's follow the government, let's all get vaccinated and be disciplined.  https://t.co/9MInuSVUJm",1,1,1,1,,,,,,,,,,,,,,,
@arthur_vee @todongpnoy Ang cute nman ni bbm dyan. Very sweet pa.â¤â¤â¤â¤,1,1,1,1,,,,,,,,,,,,,,,
Oh the BBM days ðŸ¥²,0,0,0,0,,,,,,,,,,,,,,,
May natagpuang tuta ni BBM at mga Duterte ðŸ’€,-1,-1,-1,-1,,,,,,,,,,,,,,,
maling bbm po,-1,-1,-1,-1,,,,,,,,,,,,,,,
@Imyour__lady @bbm__sara2022 @attyharryroque @indaysara I will vote.harry roque #Bongbongmarcos2022,0,0,0,0,,,,,,,,,,,,,,,
hAahahHAHH GOOD BYE BBM,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@pinoyanghang We are chill! In a matter of months, bye presidentiable BBM; welcome and cheers President BBM!",1,1,1,1,,,,,,,,,,,,,,,
"@iamwhatiam30 @MadamDeputz @DadiTsukie @WifeOfAliMERC @lenirobredo @ABSCBNNews @gmanetwork Thank you for educating me, I really appreciate it, pero bakit si BBM? AHAHAHAJA",1,1,1,1,,,,,,,,,,,,,,,
"@jhndvg @MadamDeputz @DadiTsukie @WifeOfAliMERC @lenirobredo @ABSCBNNews @gmanetwork Again, our understanding of a degree holder is based only on the Philippine educational system. Other countries are different. The fact that Wharton accepted BBM for masters program meant that he completed an undergraduate degree equivalent from Oxford.",0,0,0,0,,,,,,,,,,,,,,,
@jaicabajar BBM supporter po kasi yan,0,0,0,0,,,,,,,,,,,,,,,
"When Philstar confused everyone with BBM ðŸ˜‚ can't help but share this lol Bye, BBM! ðŸ˜‚ðŸ˜‚ðŸ˜‚ Vote wisely, k?ðŸ˜‚  https://t.co/zkNGqzUvb6",-1,-1,-1,-1,,,,,,,,,,,,,,,
You've seen DDS turned pinks but Yellow -&gt; BBM,-1,-1,-1,-1,,,,,,,,,,,,,,,
@Trx_Bntigue @jcpunongbrgy Di ba ganyan ang ginagawa nyo kay BBM na si FEM ay binintangan nyong magnanakaw at DIKTADOR kaya si BBM ay ganon na din ang tingin nyo kung di ba naman makitid ang mga utak nyo pinklawan,-1,-1,-1,-1,,,,,,,,,,,,,,,
HOPING NA SANA MAY KAKAMPINK NA LALABAS PAG CAMPAIGN PERIOD NA DITO SA MINDANAO.. MOSTLY BBM SARA TARP PALANG NAKITA KO MAY ILAN LENI KIKO PERO DI GAANO KARAMI..  WE NEED BETTER FUTURE...ðŸŒºðŸŒºðŸŒº,0,1,1,1,,,,,,,,,,,,,,,
@cbender03 BBM will remain forever elite ðŸ‘‘  https://t.co/C4KNcrsWoG,1,1,1,1,,,,,,,,,,,,,,,
"@TinderangI @FaRowena @Tejay60830430 Dito rin sa village namin, karamihan pink parols and Leni-Kiko tarps. May isang BBM dati pero now wala na yung tarp nya. Nahiya ng isabit ðŸ¤£ðŸ¤£ðŸ¤£",0,0,0,0,,,,,,,,,,,,,,,
BYE BBM ðŸ¤ª #NeverAgain,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@jhndvg @MadamDeputz @DadiTsukie @WifeOfAliMERC @lenirobredo @ABSCBNNews @gmanetwork BBM entered Wharton for his masters. Wharton requires undergraduate degree for their masters program. Wharton requested BBM's credentials directly from Oxford, then Oxford forwarded the documents to Wharton &amp; BBM started his masters until he dropped out to run as Vice Gov in IN",0,0,0,0,,,,,,,,,,,,,,,
ew dds &amp; bbm supporters mga cousins ko ðŸ¥´,-1,-1,-1,-1,,,,,,,,,,,,,,,
Yung consolation lang sa family ko eh iisa lang ang BBM tapos atmost mga Isko supporter yung iba.,1,1,1,1,,,,,,,,,,,,,,,
ALAN CAYETANO SEKRETONG PAMBATO NG ADMIN PERO HINDI IBOBOTO NG MGA TAO DAHIL SI BBM LANG ANG GUSTO!  https://t.co/KQx3LNlkve,-1,-1,-1,-1,,,,,,,,,,,,,,,
"â€œNASA AMIN ANG TAO.â€  - Ferdinand â€œBongbongâ€ Marcos, Jr  You are right BBM, because many have learned that all the accusations against your family of your political opponent are all lies. You can count on us that in May 2022 we will support Mayor Sara especially you BBM.  https://t.co/iYn0VZSbn1",1,1,1,1,,,,,,,,,,,,,,,
@userunexisting ako BBM  BoBongkangin Mo,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@iamfransxruiz @EstelleSelfie Very true! Ang panalo ni Leni ay panalo ng buong bayan, BBM supporters included ! Si Leni lamang, wala ng iba !",1,1,1,1,,,,,,,,,,,,,,,
@maichardbibis1 Dumaan sa timeline ko kagabi...  Ung pic nya jan sa bed pero may kamay na gumigising sa kanya...  Short clip vid lang naman un âœŒï¸ðŸ˜€  Busy kasi me RTing BBM/Sara2022  Sa Likes ung ALDUB/MaiChard ko ung TBADN # kung minsan kasama sa RTs nina BBM/Sara ðŸ˜€âœŒï¸ðŸ˜ðŸ˜˜,0,0,0,0,,,,,,,,,,,,,,,
BBM VLOG #191: Uniteam Ask Us Anything | Bongbong Marcos  https://t.co/FVmorFp3r2 via @YouTube. #BBMSARA2022 #BongbongMarcos2022,0,0,0,0,,,,,,,,,,,,,,,
@TitorneyFeds BBM's lead in survey is misleading. 1. Bulk of it is Duterte which is not unified. 35M ABSCBN subscribers isn't factored in.3. After Duterte the US in no mood for another human rights violator. In view of this I bet $5000 BBM will lose! Any takers from team kawatan?  https://t.co/PoGvNIpBCt,-1,-1,-1,-1,,,,,,,,,,,,,,,
Sana all BBM,0,0,0,0,,,,,,,,,,,,,,,
"Let leni go back to school or seminar for public speaking, ung ugali, nah, natural n elitista xa lumalabas talga pag nasa labas xa. Hwag maging busy sa paninira ky BBM d na sya talab sa madla.  Lalo kasama pa kmi sa iniinsulto nyo,nka talo kyo jan.",-1,-1,-1,-1,,,,,,,,,,,,,,,
"@thecuriousbelle @utopiandream520 mataas yung contrast ng picture. walang date and/or time sa tabi ng username. hindi pa existing yung user. for show lang yan kagaya ng mga acts of vexation daw sa ovp, tapos inabutan ng 100 ng isang bata sa caravan, tapos comment ng bbm supporter sa live nya",-1,-1,-1,-1,,,,,,,,,,,,,,,
BBM - SARA is a PERFECT Combination parang 3in1 coffee kumpleto rekado may sobrang pa! @bongbongmarcos  #bongbongmarcos2022 Uniteam 2022  https://t.co/Z76JLYccFu,1,1,1,1,,,,,,,,,,,,,,,
@imerik_martinez yes it's true ang eldest ko give pointers sa friend niyang BBM parents and I'm happy kahit Di pa siya botante eager siya magpaliwanag..sila PAGASA talaga. Good night see you tom.sweet dreams my #Kakampink,1,1,1,1,,,,,,,,,,,,,,,
@PhilstarNews bye BBM. hahahahahah #LetLeniLead2022,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@gagogh_ ""Why BBM?""  Hahahah",-1,-1,-1,-1,,,,,,,,,,,,,,,
"@MadamDeputz @DadiTsukie @WifeOfAliMERC @iamwhatiam30 @lenirobredo Verified po ang accounts ng sources ko. Socmed has two sides, fake and true. Facts lang ang hanap ko. Ngayon, let me ask you, anong source mo at Bakit si BBM?",-1,-1,-1,-1,,,,,,,,,,,,,,,
HAHAHAHA welecome sa Rupublic of the Twitter BBM ðŸ˜Œ chareett.,1,1,1,1,,,,,,,,,,,,,,,
@dynamicdemon @ipusongmamon @RegentFoodsCorp Tama lahat ng produkto ng mga supporters ni BBM i boycott natin.,-1,-1,-1,-1,,,,,,,,,,,,,,,
@dTnalakRiderSR @itsme_annae @bbm__sara2022 @ShameOnYouPpl panahon na #Uniteam BBMnians magingay Ahuh ahuh,1,1,1,1,,,,,,,,,,,,,,,
BBM po ako.  Babalik-Balikan Mo chour,1,1,1,1,,,,,,,,,,,,,,,
@PhilstarNews RIP BBM.,-1,-1,-1,-1,,,,,,,,,,,,,,,
The only reason these BBM supporters doesn't want to argue is cuz they know among themselves that they can't handle an objective and factual discussion between their candidate and other candidate. LMAO,-1,-1,-1,-1,,,,,,,,,,,,,,,
"sglit rica nn q,,,same rica, bbm din aq",0,0,0,0,,,,,,,,,,,,,,,
@dynamicdemon @RegentFoodsCorp Hilig s cancel culture mga pinkachu. At least d ganyan mga BBM.,-1,-1,-1,-1,,,,,,,,,,,,,,,
@PhilstarNews manifesting the other BBM ðŸ•¯ðŸ•¯ðŸ•¯,0,-1,-1,-1,,,,,,,,,,,,,,,
Ikthus Bacolod maka BBM at Sara na walang H yikkkkeeesss,-1,-1,-1,-1,,,,,,,,,,,,,,,
Okay lang maging bakal wag lang maging BBM.,-1,-1,-1,-1,,,,,,,,,,,,,,,
PUTANGINA TALAGA NG PHILSTAR HWHWHSHWJWJWJWJSJW END OF AN ERA FOR BBM!!,-1,-1,-1,-1,,,,,,,,,,,,,,,
Goodbye BBM...  https://t.co/pWJnnK4c0u,-1,-1,-1,-1,,,,,,,,,,,,,,,
@JoshAmato3 @josiahquising @PinoyAkoBlog @thecuriousbelle Ibig mong sabihin ang ni wife bbm c greggy araneta dba c irene ang asawa nun so ikaw pala tong walang alam,-1,-1,-1,-1,,,,,,,,,,,,,,,
Mga ka BBM support po natin ang #LunchOutLoudOnTV5 para di makuha ng Its showtime ang time slot nila. Marami na tutulungan at di namumulitika ang LOL. andun din cla Alex at Belle na maka BBM. Kea nagdrama si vice na nasa baba na sila mataas pa ratings ng LOL sa kanila ðŸ˜‚,-1,-1,-1,-1,,,,,,,,,,,,,,,
@GodOf_Thunder16 Nag iisip uli ng maobabatong insulto ky BBM damay pati tayo maka BBM,-1,-1,-1,-1,,,,,,,,,,,,,,,
Sa mga BBM loyalist da nga may utang sakun manukot na ko starting next week. Ngayo na kamo daan tallano gold sa bata sang diktador para ka bayad kamo ðŸ˜‚ðŸ¤£,-1,-1,-1,-1,,,,,,,,,,,,,,,
@hannahbarrantes Cguradohin namin na hindi kau mga pinklawan manaloðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž if ever manalo man kau mga pinklawan dahil nag cheated nanaman nanay ninyo na si Leni ðŸ™„ ang labas nyan people power para mapaalis sya tandaan nin yo yan. Buong bayan gusto si bbm hindi ung lutang sa interview ðŸ‘Ž ðŸ‘Ž ðŸ‘Ž ðŸ‘Ž,-1,-1,-1,-1,,,,,,,,,,,,,,,
Shuta ang hirap mag convert dito sa lugar ng Tito't tita ko. Ang daming BBM supporters hindi ako taga dito kaya baka pag initan. ðŸ˜«,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@PhilstarNews @PinoyAkoBlog Please lng, dapat bawal ang mga DDS &amp; BBM apologistsâ€¦ lalo na si Thea Tan Taeâ€¦",-1,-1,-1,-1,,,,,,,,,,,,,,,
@615_mariaellen_ @YERSELAROM Iba ang Aura ng mga Pro Government at Lalo na  yung BBM Supporter ka at Love niyo pa si VP SARA. HAPPY AT CONTENTED ANG FEELING...,1,1,1,1,,,,,,,,,,,,,,,
"@TugadeWelmor @agot_isidro Paktay na, bawas bayad mo nitoðŸ˜‚I trulala k ni BBM",-1,-1,-1,-1,,,,,,,,,,,,,,,
proud bbm ðŸ¥°ðŸ¥°,1,1,1,1,,,,,,,,,,,,,,,
Hahaha Ganda Ng Kanta Ni Kuya Dapat Pakinggan ðŸ¤£ | Mga BBM Supporters ðŸ¤£ðŸ˜  https://t.co/CJBanQ7eXO via @YouTube,1,1,1,1,,,,,,,,,,,,,,,
@jbondwagon Ser if BBM doesn't win... see you in #LaUnion? ðŸ‘‹,0,0,0,0,,,,,,,,,,,,,,,
@hannahbarrantes Lumayas ka pinas pag naka upo si bbm nmal ka ewwww,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@WinwinEklabu Oyyyy!!! Twitter survey,,,, atleast para nmn may masabi na nalamangan si BBM sa survey,,ha ha ha pero dito lng Kung totoo nga, pero aminin man ninyo o Hindi kulelat pa rin si leni lugs niyo",-1,-1,-1,-1,,,,,,,,,,,,,,,
@JoshAmato3 @josiahquising @PinoyAkoBlog @thecuriousbelle Hoy bago k magsabi ng bobame narating k n b at isa p ano bang accomplishment bbm mo bakit b patay n patay ka at isa bkit until now d umuunlAd ang bayan nila sa ilocos wala sa pinaka mayaman n lunsod until now third class municipality pa rin,-1,-1,-1,-1,,,,,,,,,,,,,,,
@hannahbarrantes Close your mouth pag naka upo si bbm lumayas kau bansa ayaw namin makikita pag mumukha ninyo ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž ðŸ‘ŠðŸ‘ŠðŸ‘ŠðŸ‘ŠðŸ‘Š,-1,-1,-1,-1,,,,,,,,,,,,,,,
Sana lahat ng BBM bye na rin.,0,-1,-1,-1,,,,,,,,,,,,,,,
End of BBM ðŸ˜  Pero hindi ako nausuhan nito talaga. Mas kumagat pa ko ng HTC at Huawei.,-1,-1,-1,-1,,,,,,,,,,,,,,,
These poor bbm fans dito sa bahay make me sick ðŸ˜ªðŸ¥´,-1,-1,-1,-1,,,,,,,,,,,,,,,
"yes, bbm ako",0,1,1,1,,,,,,,,,,,,,,,
Bye BBM!,-1,-1,-1,-1,,,,,,,,,,,,,,,
sana ibang bbm nalang,-1,-1,-1,-1,,,,,,,,,,,,,,,
"@kopitoad Ayaw ko sanang bSHin ng buo, kaso ka BBM/SARA ang nag share...â¤ðŸ’š Naiyak ako. ðŸ˜€ðŸ˜€ðŸ˜€",-1,-1,-1,-1,,,,,,,,,,,,,,,
@NanayNorine @cziakoh @PinoyAkoBlog Sabi nga BBM BAWAL BANGAG sa MALACAÃ‘AN ctto,-1,-1,-1,-1,,,,,,,,,,,,,,,
"#FreeMassTestingNow, sabi ko sa GC. Sumagot yung DDS/BBM. Free daw sa LGU, fill-up ng form, state symptoms/exposure then pwede na mag-book.  As if ganun kadali. Ilan sa'min ang nagkasakit over the holidays pero walang nag-avail nun kasi nga sooo hassle. Paracetamol is our friend.  https://t.co/OlStOwJW2q",-1,-1,-1,-1,,,,,,,,,,,,,,,
"Wala ng ibang maibato pa yong mga pro mamalugs kay BBM kong hindi ""magnanakaw"" pero ni isa sa mga Marcos hindi kayang ipakulong. Midyo nakakahiya yon sa part nila na akusa nang akusa hindi naman kayang ikulong .  #BBMIsMyPresident2022  #BongbongMarcos2022  #bbmsarah2022",-1,-1,-1,-1,,,,,,,,,,,,,,,
